penalty,mixture,.metric,.estimator,mean,n,std_err,.config,model,features,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size
NA,NA,mae,standard,0.25009823629349975,5,0.00238524649223172,Preprocessor1_Model06,random_forest,hybrid,33,923,36,NA,NA,NA,NA
NA,NA,rmse,standard,0.2986399024471313,5,0.0033596811072749023,Preprocessor1_Model06,random_forest,hybrid,33,923,36,NA,NA,NA,NA
NA,NA,mae,standard,0.25058127385636114,5,0.002470396936675629,Preprocessor1_Model07,random_forest,hybrid,39,1026,23,NA,NA,NA,NA
NA,NA,rmse,standard,0.29914868024066227,5,0.0033438223004068866,Preprocessor1_Model07,random_forest,hybrid,39,1026,23,NA,NA,NA,NA
NA,NA,mae,standard,0.2506266560238665,5,0.0023243025463929833,Preprocessor1_Model08,random_forest,hybrid,46,257,6,NA,NA,NA,NA
NA,NA,rmse,standard,0.2994545029586442,5,0.0033819490195197205,Preprocessor1_Model08,random_forest,hybrid,46,257,6,NA,NA,NA,NA
NA,NA,mae,standard,0.2504376382697713,5,0.0022336937503536322,Preprocessor1_Model09,random_forest,hybrid,52,1641,4,NA,NA,NA,NA
NA,NA,rmse,standard,0.2992071243840843,5,0.0031628520861631997,Preprocessor1_Model09,random_forest,hybrid,52,1641,4,NA,NA,NA,NA
NA,NA,mae,standard,0.2503102086882154,5,0.0025034852560689956,Preprocessor1_Model10,random_forest,hybrid,59,1589,37,NA,NA,NA,NA
NA,NA,rmse,standard,0.2988529516050335,5,0.0033137488775478057,Preprocessor1_Model10,random_forest,hybrid,59,1589,37,NA,NA,NA,NA
NA,NA,mae,standard,0.2504250817639505,5,0.002623964026225882,Preprocessor1_Model11,random_forest,hybrid,65,974,2,NA,NA,NA,NA
NA,NA,rmse,standard,0.2991521910595464,5,0.0036031333824747803,Preprocessor1_Model11,random_forest,hybrid,65,974,2,NA,NA,NA,NA
NA,NA,mae,standard,0.3157701222338231,5,0.00400674763032838,Preprocessor1_Model12,random_forest,hybrid,72,1,20,NA,NA,NA,NA
NA,NA,rmse,standard,0.3882127695240777,5,0.0037277686459006635,Preprocessor1_Model12,random_forest,hybrid,72,1,20,NA,NA,NA,NA
NA,NA,mae,standard,0.2502224369172031,5,0.0027981296662259736,Preprocessor1_Model13,random_forest,hybrid,78,206,35,NA,NA,NA,NA
NA,NA,rmse,standard,0.2991420027753199,5,0.0036186693956445576,Preprocessor1_Model13,random_forest,hybrid,78,206,35,NA,NA,NA,NA
NA,NA,mae,standard,0.25021514912595477,5,0.0025366938188005625,Preprocessor1_Model14,random_forest,hybrid,85,1897,24,NA,NA,NA,NA
NA,NA,rmse,standard,0.29882929949027304,5,0.003324362490611299,Preprocessor1_Model14,random_forest,hybrid,85,1897,24,NA,NA,NA,NA
NA,NA,mae,standard,0.25059694550142686,5,0.002619990205961295,Preprocessor1_Model15,random_forest,hybrid,91,667,13,NA,NA,NA,NA
NA,NA,rmse,standard,0.29930903667575665,5,0.003418556593603067,Preprocessor1_Model15,random_forest,hybrid,91,667,13,NA,NA,NA,NA
NA,NA,mae,standard,0.2502637318224754,5,0.002546657377795623,Preprocessor1_Model16,random_forest,hybrid,98,1333,14,NA,NA,NA,NA
NA,NA,rmse,standard,0.29892915775682277,5,0.0033989935570350157,Preprocessor1_Model16,random_forest,hybrid,98,1333,14,NA,NA,NA,NA
NA,NA,mae,standard,0.2503982106470034,5,0.0025611402508680554,Preprocessor1_Model17,random_forest,hybrid,104,1231,30,NA,NA,NA,NA
NA,NA,rmse,standard,0.2988554611122264,5,0.0033119658209559612,Preprocessor1_Model17,random_forest,hybrid,104,1231,30,NA,NA,NA,NA
NA,NA,mae,standard,0.2503614515232205,5,0.002505789945068895,Preprocessor1_Model18,random_forest,hybrid,111,564,25,NA,NA,NA,NA
NA,NA,rmse,standard,0.2988281145162001,5,0.0032346787286414197,Preprocessor1_Model18,random_forest,hybrid,111,564,25,NA,NA,NA,NA
NA,NA,mae,standard,0.250408196695197,5,0.0025816461147377444,Preprocessor1_Model19,random_forest,hybrid,117,718,39,NA,NA,NA,NA
NA,NA,rmse,standard,0.2991974212823351,5,0.0033605746689214914,Preprocessor1_Model19,random_forest,hybrid,117,718,39,NA,NA,NA,NA
